;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2010      Region:  Braunau 401;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40401-ALTHEIM;57;-7;-10,6%;65;-14;-17,8%;122;-21;-14,6%
40402-ASPACH;22;0;1,1%;25;-7;-21,0%;47;-6;-11,8%
40403-AUERBACH;4;1;32,5%;5;-1;-15,3%;10;0;1,8%
40404-BRAUNAU AM INN;261;-39;-13,0%;295;-96;-24,5%;555;-135;-19,5%
40405-BURGKIRCHEN;17;-1;-3,2%;24;-4;-12,6%;42;-4;-8,9%
40406-EGGELSBERG;20;-10;-33,7%;22;-9;-29,1%;42;-19;-31,4%
40407-FELDKIRCHEN BEI MATTIGHOFEN;15;-3;-14,1%;13;-6;-33,3%;28;-9;-24,0%
40408-FRANKING;10;-4;-29,3%;7;-4;-36,7%;17;-8;-32,5%
40409-GERETSBERG;8;-4;-33,3%;9;-4;-31,2%;17;-8;-32,2%
40410-GILGENBERG AM WEILHART;7;-3;-29,4%;10;0;-2,4%;17;-3;-15,7%
40411-HAIGERMOOS;6;1;21,8%;6;1;25,9%;12;2;23,9%
40412-HANDENBERG;10;-3;-20,0%;18;-6;-26,6%;28;-9;-24,3%
40413-HELPFAU-UTTENDORF;40;-15;-27,4%;63;-12;-15,6%;103;-27;-20,6%
40414-HOCHBURG-ACH;16;-5;-22,5%;15;-15;-49,7%;31;-19;-38,4%
40415-HOEHNHART;10;-2;-13,2%;22;-5;-19,5%;32;-7;-17,6%
40416-JEGING;5;-4;-46,2%;7;-5;-42,6%;11;-9;-44,2%
40417-KIRCHBERG BEI MATTIGHOFEN;12;2;15,0%;12;0;0,0%;24;2;7,1%
40418-LENGAU;40;-11;-22,0%;50;-19;-27,5%;90;-30;-25,2%
40419-LOCHEN;16;-4;-21,0%;24;6;30,8%;40;1;3,4%
40420-MARIA SCHMOLLN;5;-1;-15,4%;17;0;-2,0%;21;-1;-5,2%
40421-MATTIGHOFEN;83;-24;-22,8%;90;-41;-31,6%;173;-66;-27,6%
40422-MAUERKIRCHEN;41;-15;-27,3%;42;-16;-28,1%;83;-32;-27,7%
40423-MINING;8;-5;-38,7%;9;-4;-29,5%;17;-9;-34,2%
40424-MOOSBACH;7;-6;-47,8%;10;-9;-46,1%;17;-15;-46,8%
40425-MOOSDORF;13;-5;-25,8%;17;-3;-16,0%;30;-8;-20,5%
40426-MUNDERFING;29;-7;-18,3%;28;-16;-36,1%;57;-22;-28,1%
40427-NEUKIRCHEN AN DER ENKNACH;18;-6;-23,5%;21;-13;-37,8%;39;-18;-31,9%
40428-OSTERMIETHING;38;-8;-17,2%;32;-12;-27,4%;69;-20;-22,2%
40429-PALTING;7;2;33,3%;6;0;4,2%;13;2;17,4%
40430-PERWANG AM GRABENSEE;4;-4;-49,5%;8;0;5,3%;12;-4;-22,5%
40431-PFAFFSTAETT;9;-4;-32,5%;10;-3;-20,1%;19;-7;-26,4%
40432-PISCHELSDORF AM ENGELBACH;11;-1;-4,2%;14;-2;-13,2%;25;-3;-9,3%
40433-POLLING IM INNKREIS;6;-3;-30,3%;7;-2;-22,7%;13;-5;-26,5%
40434-ROSZBACH;9;1;10,8%;13;0;1,3%;23;1;5,0%
40435-SANKT GEORGEN AM FILLMANNSBACH;3;-2;-34,6%;5;1;20,8%;8;-1;-8,0%
40436-SANKT JOHANN AM WALDE;14;-3;-18,3%;30;-8;-21,2%;44;-11;-20,3%
40437-SANKT PANTALEON;39;-8;-17,8%;53;-6;-9,4%;91;-14;-13,2%
40438-SANKT PETER AM HART;23;-4;-14,6%;19;-4;-15,8%;41;-7;-15,1%
40439-SANKT RADEGUND;3;-2;-37,9%;4;-2;-29,0%;7;-3;-33,3%
40440-SANKT VEIT IM INNKREIS;4;0;-10,4%;4;-1;-23,9%;8;-2;-18,3%
40441-SCHALCHEN;41;-13;-24,1%;52;-11;-17,0%;93;-24;-20,3%
40442-SCHWAND IM INNKREIS;5;0;-8,3%;6;0;1,4%;11;0;-3,0%
40443-TARSDORF;15;1;4,1%;16;-1;-6,5%;30;-1;-1,6%
40444-TREUBACH;6;-2;-27,5%;4;-1;-19,7%;11;-3;-24,4%
