;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2008      Region:  Braunau 401;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40401-ALTHEIM;44;2;5,6%;45;1;2,4%;90;3;4,0%
40402-ASPACH;17;3;25,0%;20;-1;-2,5%;37;3;8,7%
40403-AUERBACH;1;-1;-43,3%;2;-1;-43,6%;3;-3;-43,5%
40404-BRAUNAU AM INN;202;14;7,4%;230;13;6,2%;432;27;6,7%
40405-BURGKIRCHEN;15;4;29,6%;15;3;21,1%;30;6;25,3%
40406-EGGELSBERG;19;5;30,5%;13;1;3,9%;33;5;18,2%
40407-FELDKIRCHEN BEI MATTIGHOFEN;10;0;4,2%;13;1;7,1%;23;1;5,8%
40408-FRANKING;9;1;8,4%;6;-1;-12,5%;15;0;-1,6%
40409-GERETSBERG;10;4;60,3%;8;0;2,2%;18;4;28,7%
40410-GILGENBERG AM WEILHART;5;-1;-12,5%;6;-3;-31,4%;11;-3;-23,6%
40411-HAIGERMOOS;3;1;26,9%;2;-1;-28,1%;5;0;-3,4%
40412-HANDENBERG;11;6;127,6%;16;1;4,3%;27;7;33,9%
40413-HELPFAU-UTTENDORF;29;3;10,1%;43;11;32,4%;72;13;22,4%
40414-HOCHBURG-ACH;13;3;23,4%;15;3;30,6%;28;6;27,1%
40415-HOEHNHART;7;0;-3,3%;15;1;3,4%;22;0;1,1%
40416-JEGING;5;3;96,8%;4;1;25,6%;9;3;57,1%
40417-KIRCHBERG BEI MATTIGHOFEN;4;-3;-36,6%;7;0;-1,3%;11;-3;-19,1%
40418-LENGAU;31;3;9,1%;35;2;7,3%;66;5;8,2%
40419-LOCHEN;12;-2;-13,1%;12;-1;-9,9%;24;-3;-11,5%
40420-MARIA SCHMOLLN;4;0;5,0%;9;1;5,9%;12;1;5,7%
