NUTS2,LAU2_CODE,LAU2_NAME,YEAR,POP_TOTAL
AT31,40101,Linz,2014,197427
AT31,40201,Steyr,2014,38287
AT31,40301,Wels,2014,59858
AT31,40401,Altheim,2014,4767
AT31,40402,Aspach,2014,2478
AT31,40403,Auerbach,2014,566
AT31,40404,Braunau am Inn,2014,16387
AT31,40405,Burgkirchen,2014,2576
AT31,40406,Eggelsberg,2014,2304
AT31,40407,Feldkirchen bei Mattighofen,2014,1908
AT31,40408,Franking,2014,942
AT31,40409,Geretsberg,2014,1117
AT31,40410,Gilgenberg am Weilhart,2014,1294
AT31,40411,Haigermoos,2014,580
AT31,40412,Handenberg,2014,1313
AT31,40413,Helpfau-Uttendorf,2014,3440
AT31,40414,Hochburg-Ach,2014,3137
AT31,40415,Höhnhart,2014,1410
AT31,40416,Jeging,2014,698
AT31,40417,Kirchberg bei Mattighofen,2014,1140
AT31,40418,Lengau,2014,4503
AT31,40419,Lochen,2014,2612
AT31,40420,Maria Schmolln,2014,1436
AT31,40421,Mattighofen,2014,6020
AT31,40422,Mauerkirchen,2014,2416
AT31,40423,Mining,2014,1169
AT31,40424,Moosbach,2014,943
AT31,40425,Moosdorf,2014,1611
AT31,40426,Munderfing,2014,2906
AT31,40427,Neukirchen an der Enknach,2014,2137
AT31,40428,Ostermiething,2014,3276
AT31,40429,Palting,2014,913
AT31,40430,Perwang am Grabensee,2014,962
AT31,40431,Pfaffstätt,2014,991
AT31,40432,Pischelsdorf am Engelbach,2014,1662
AT31,40433,Polling im Innkreis,2014,957
AT31,40434,Roßbach,2014,942
AT31,40435,St. Georgen am Fillmannsbach,2014,390
AT31,40436,St. Johann am Walde,2014,2036
AT31,40437,St. Pantaleon,2014,3034
AT31,40438,St. Peter am Hart,2014,2449
AT31,40439,St. Radegund,2014,589
AT31,40440,St. Veit im Innkreis,2014,425
AT31,40441,Schalchen,2014,3778
AT31,40442,Schwand im Innkreis,2014,896
AT31,40443,Tarsdorf,2014,2019
AT31,40444,Treubach,2014,718
AT31,40445,Überackern,2014,679
AT31,40446,Weng im Innkreis,2014,1377
AT31,40501,Alkoven,2014,5625
AT31,40502,Aschach an der Donau,2014,2194
AT31,40503,Eferding,2014,3971
AT31,40504,Fraham,2014,2335
AT31,40505,Haibach ob der Donau,2014,1296
AT31,40506,Hartkirchen,2014,4044
AT31,40507,Hinzenbach,2014,1977
AT31,40508,Prambachkirchen,2014,2799
AT31,40509,Pupping,2014,1874
AT31,40510,St. Marienkirchen an der Polsenz,2014,2277
AT31,40511,Scharten,2014,2264
AT31,40512,Stroheim,2014,1553
AT31,40601,Freistadt,2014,7495
AT31,40602,Grünbach,2014,1885
AT31,40603,Gutau,2014,2720
AT31,40604,Hagenberg im Mühlkreis,2014,2664
AT31,40605,Hirschbach im Mühlkreis,2014,1150
AT31,40606,Kaltenberg,2014,628
AT31,40607,Kefermarkt,2014,2070
AT31,40608,Königswiesen,2014,3151
AT31,40609,Lasberg,2014,2748
AT31,40610,Leopoldschlag,2014,1028
AT31,40611,Liebenau,2014,1639
AT31,40612,Neumarkt im Mühlkreis,2014,3120
AT31,40613,Pierbach,2014,992
AT31,40614,Pregarten,2014,5169
AT31,40615,Rainbach im Mühlkreis,2014,2896
AT31,40616,Sandl,2014,1395
AT31,40617,St. Leonhard bei Freistadt,2014,1381
AT31,40618,St. Oswald bei Freistadt,2014,2826
AT31,40619,Schönau im Mühlkreis,2014,1926
AT31,40620,Tragwein,2014,3049
AT31,40621,Unterweißenbach,2014,2267
AT31,40622,Unterweitersdorf,2014,2042
AT31,40623,Waldburg,2014,1368
AT31,40624,Wartberg ob der Aist,2014,4179
AT31,40625,Weitersfelden,2014,1035
AT31,40626,Windhaag bei Freistadt,2014,1609
AT31,40627,Bad Zell,2014,2829
AT31,40701,Altmünster,2014,9700
AT31,40702,Bad Goisern am Hallstättersee,2014,7487
AT31,40703,Bad Ischl,2014,13823
AT31,40704,Ebensee,2014,7679
AT31,40705,Gmunden,2014,13105
AT31,40706,Gosau,2014,1742
AT31,40707,Grünau im Almtal,2014,2086
AT31,40708,Gschwandt,2014,2686
AT31,40709,Hallstatt,2014,779
AT31,40710,Kirchham,2014,2005
AT31,40711,Laakirchen,2014,9677
AT31,40712,Obertraun,2014,741
AT31,40713,Ohlsdorf,2014,5061
AT31,40714,Pinsdorf,2014,3809
AT31,40715,Roitham,2014,1985
AT31,40716,St. Konrad,2014,1101
AT31,40717,St. Wolfgang im Salzkammergut,2014,2803
AT31,40718,Traunkirchen,2014,1608
AT31,40719,Scharnstein,2014,4746
AT31,40720,Vorchdorf,2014,7301
AT31,40801,Aistersheim,2014,852
AT31,40802,Bad Schallerbach,2014,3827
AT31,40803,Bruck-Waasen,2014,2313
AT31,40804,Eschenau im Hausruckkreis,2014,1038
AT31,40805,Gallspach,2014,2749
