;Arbeitslosigkeit;;;;;;;;
Arbeitslose nach Gemeinden;;;;;;;;;
Datum:  2014      Region:  Braunau 401;;;;;;;;;
Bestand arbeitsloser Personen zum Stichtag;;;;;;;;;
;;;;;;;;;
;Frauen;;;Männer;;;Gesamt;;
;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %;Bestand;Veränderung zum VJ absolut;Veränderung zum VJ in %
40401-ALTHEIM;62;16;36,0%;76;14;22,9%;137;30;28,5%
40402-ASPACH;27;1;5,2%;32;1;3,5%;59;2;4,3%
40403-AUERBACH;6;1;10,8%;6;-1;-16,0%;12;-1;-4,1%
40404-BRAUNAU AM INN;315;47;17,4%;364;21;6,2%;680;68;11,2%
40405-BURGKIRCHEN;31;5;18,6%;21;1;6,0%;51;6;13,2%
40406-EGGELSBERG;22;-2;-7,3%;25;-2;-8,2%;47;-4;-7,8%
40407-FELDKIRCHEN BEI MATTIGHOFEN;16;6;65,3%;17;1;5,6%;34;7;27,8%
40408-FRANKING;15;6;74,0%;9;1;18,1%;24;8;46,9%
40409-GERETSBERG;11;2;16,5%;12;1;5,8%;23;2;10,7%
40410-GILGENBERG AM WEILHART;9;-1;-5,9%;13;3;34,2%;22;3;14,0%
40411-HAIGERMOOS;8;1;19,3%;7;3;67,3%;16;4;37,8%
40412-HANDENBERG;9;-1;-13,3%;17;1;3,6%;25;-1;-2,9%
40413-HELPFAU-UTTENDORF;52;1;2,1%;66;11;20,0%;118;12;11,4%
40414-HOCHBURG-ACH;21;1;5,5%;12;-5;-29,6%;33;-4;-10,7%
40415-HOEHNHART;12;3;31,8%;24;0;0,4%;35;3;9,0%
40416-JEGING;10;2;29,8%;6;1;20,3%;17;3;25,9%
40417-KIRCHBERG BEI MATTIGHOFEN;12;3;33,7%;16;2;17,7%;27;5;24,0%
40418-LENGAU;45;-1;-2,4%;59;7;13,0%;104;6;5,8%
40419-LOCHEN;20;0;1,2%;22;-2;-7,9%;43;-2;-3,7%
40420-MARIA SCHMOLLN;12;2;17,1%;16;1;9,4%;28;3;12,6%
40421-MATTIGHOFEN;104;-5;-4,5%;98;-8;-7,4%;202;-13;-5,9%
40422-MAUERKIRCHEN;42;9;28,3%;45;8;21,1%;87;17;24,5%
40423-MINING;10;1;6,4%;6;2;46,7%;15;2;18,1%
40424-MOOSBACH;10;3;35,6%;16;3;25,5%;26;6;29,2%
40425-MOOSDORF;18;2;11,5%;17;3;20,6%;35;5;15,8%
40426-MUNDERFING;34;3;9,5%;39;4;11,0%;72;7;10,3%
40427-NEUKIRCHEN AN DER ENKNACH;23;5;26,1%;20;2;8,4%;43;6;17,1%
